[1128/171432:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/171606:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/172621:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/172810:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/173110:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/173331:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/173441:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/174221:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/174346:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/174501:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/174556:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/174725:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/175142:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/175347:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/175429:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/175937:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/182316:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/182544:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/184344:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/184808:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/100857:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/100945:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/101106:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/102138:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/102316:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/102816:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/103225:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/131316:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/132052:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/160157:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/160715:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/161342:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/163309:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/163442:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/163806:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/175815:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/180025:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/180218:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/180844:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/181332:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/181632:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/181819:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/130329:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/165354:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/165814:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/171422:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/171600:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/172005:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/172100:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/172231:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/172320:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/172430:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/172548:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/172754:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/173000:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/173404:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1130/173604:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1201/144048:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1201/144306:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1201/151121:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1201/151723:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/120008:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/120417:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/120635:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/160246:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/161006:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/161051:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/161212:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/161424:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/161920:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/161931:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/162421:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/162555:ERROR:file_io.cc(30)] read: expected 4, observed 0
